Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_[3, 6, 7, 8];0.5185424871068617;0.04159470722346612;0.6982143966713537;0.09176541241468147;0.5916798606657058;0.04415229268603125;0.7065142151169713;0.04842180308276418;0.643369425088629;0.04252762740498874;0.029260683059692382;0.0017821323611972727
SVDD_RBF_0.0005_scale_[3, 6, 7, 8];0.5152188003356887;0.027746020452702077;0.8626130433348445;0.055142930456643154;0.6437972062607028;0.024068118266442385;0.7333401191976239;0.04126667794299544;0.6446232790680504;0.03434461984422943;0.0360321044921875;0.004868830643261165
SVDD_RBF_0.001_scale_[3, 6, 7, 8];0.5143554092785779;0.028234967452325475;0.8659854341040493;0.05239255272977967;0.6441406941247547;0.024172005084129224;0.7306311245902093;0.040569820474515156;0.6436457168461435;0.034859138990727664;0.034999299049377444;0.0021066338159954415
SVDD_RBF_0.005_scale_[3, 6, 7, 8];0.5144153777216407;0.02830794620297494;0.8688754273764895;0.051964221207404286;0.6450066822941588;0.024246446812636695;0.7312655897679617;0.03936222868146109;0.6438086071716115;0.03459211033787184;0.03463304042816162;0.001254425940985215
SVDD_RBF_0.01_scale_[3, 6, 7, 8];0.5141405453841387;0.028166206549519273;0.8685688899833;0.051874738089250895;0.6447037854276179;0.02404842689159801;0.7314521323939797;0.03931478882946158;0.643466508030454;0.03447388295066856;0.04090361595153809;0.006410100809584811
SVDD_RBF_0.05_scale_[3, 6, 7, 8];0.5144292838486382;0.02793196871152148;0.8689630889395692;0.05152752979239275;0.6450545306653139;0.023781057535804364;0.7313534501131758;0.039150007693512436;0.6438575122192292;0.034147818822786516;0.045258712768554685;0.009149713621034289
SVDD_RBF_0.1_scale_[3, 6, 7, 8];0.5156256192272248;0.028404856084099317;0.8614303313994476;0.055001326848728924;0.643716113642445;0.023707067317885428;0.732932728819541;0.03846706358807309;0.6449816091225589;0.033931691257950654;0.0401461124420166;0.005482217099428511
SVDD_RBF_0.2_scale_[3, 6, 7, 8];0.5246043728795697;0.026704507003484406;0.8135165653697127;0.06021982594955729;0.6364949306062483;0.02592556262125209;0.7342926136673062;0.03548914255803667;0.6547239017077542;0.028584668170259613;0.05315332412719727;0.00916378787657444
SVDD_RBF_0.3_scale_[3, 6, 7, 8];0.5347143369924041;0.031091484086925702;0.7388437380378693;0.059829925718641104;0.6191601530453587;0.033556914214698946;0.7337208401849318;0.035960549612629594;0.6624624036475288;0.030953773081180334;0.05056498050689697;0.0022335404324112028
SVDD_RBF_0.4_scale_[3, 6, 7, 8];0.5446286153902271;0.03141187334719778;0.6592669261034694;0.07603443771391466;0.5940539856237823;0.03888044185252175;0.7323164246318821;0.03357688409379048;0.6669265682801564;0.02647479910763538;0.06133313179016113;0.013004996767427947
SVDD_RBF_0.5_scale_[3, 6, 7, 8];0.5541187024039023;0.03580093546378257;0.5665475152137208;0.08132447231875577;0.5569852755406351;0.0478423725215712;0.7342340832185631;0.03360298280221768;0.6680996365772178;0.02550888997316209;0.06416840553283691;0.0018724397934366185
SVDD_RBF_0.6_scale_[3, 6, 7, 8];0.5624691536324049;0.04299676752566191;0.4669544482058433;0.08010774526798521;0.5061800413282349;0.05540852190941251;0.7359452181321906;0.03358997094318055;0.6653955361591364;0.026136296991018736;0.07101068496704102;0.0013909494062752292
SVDD_RBF_0.7_scale_[3, 6, 7, 8];0.5687907771799627;0.041088133515379266;0.360222880147408;0.06569181599786304;0.4366854037650237;0.051252142628418554;0.7366881239190414;0.031026233913751956;0.6588138954876733;0.019151652775223987;0.0812412977218628;0.004844141133025965
SVDD_RBF_0.8_scale_[3, 6, 7, 8];0.5683318853163524;0.05354656980190116;0.24937641579848924;0.04990684128380429;0.34264099587468544;0.04900305028883656;0.7357552174641476;0.028936710954811817;0.6484204157926893;0.016862950980879098;0.08796768188476563;0.0018960911015705496
SVDD_RBF_0.9_scale_[3, 6, 7, 8];0.5448814751332339;0.0669736036114757;0.1146156814281758;0.044872229844509386;0.18411982248839748;0.06001428616762187;0.7338150546584257;0.02646561488859777;0.6326504911655904;0.01136716714870102;0.09781897068023682;0.004765326190548339
SVDD_RBF_0.0001_auto_[3, 6, 7, 8];0.0;0.0;0.0;0.0;0.0;0.0;0.6385183116706127;0.05883634006661784;0.6280240492455891;4.6882365059703186e-05;0.0196169376373291;0.0017894256390369508
SVDD_RBF_0.0005_auto_[3, 6, 7, 8];0.23381300719629766;0.23627432792926875;0.36850909371253143;0.4424006263542376;0.26353554442086213;0.30581838092241026;0.6909090404006336;0.030827068590327418;0.621328736449934;0.014201912999301496;0.019301843643188477;0.001101286478465517
SVDD_RBF_0.001_auto_[3, 6, 7, 8];0.4822218862822611;0.036563911434387864;0.8763659938339652;0.0909926897594908;0.618237141884258;0.024043098636376645;0.7127651848464958;0.04491718686622994;0.5973633576568803;0.04708307873455481;0.020537400245666505;0.0008156571349567887
SVDD_RBF_0.005_auto_[3, 6, 7, 8];0.46333225503692893;0.022373822919320555;0.9774005000026849;0.012560679620584781;0.6282244096180734;0.019207269240984;0.7393862394804276;0.029645739836040203;0.5684308761864211;0.03762463020949176;0.021497511863708497;0.0005522406481960657
SVDD_RBF_0.01_auto_[3, 6, 7, 8];0.4645086308384595;0.023851640392078852;0.9768313806533175;0.012096810875316458;0.6291156330705915;0.020126204214434302;0.7396248262072893;0.030184083533405855;0.5701251277096351;0.04013333842943063;0.023377752304077147;0.0023426483488280542
SVDD_RBF_0.05_auto_[3, 6, 7, 8];0.4847929329256451;0.01787784574890525;0.9484962906367247;0.023473319165098847;0.6412143057777587;0.014241604644892134;0.7437886389016748;0.028103855083146452;0.6044663965159055;0.029618575251379127;0.02627253532409668;0.0036796665141475347
SVDD_RBF_0.1_auto_[3, 6, 7, 8];0.5023275965745005;0.016334417123731168;0.9115753728349263;0.04149287929726745;0.6470100839887378;0.01202958890644403;0.7451216548153902;0.028465115476597882;0.6298318879699687;0.02359545156645786;0.03284919261932373;0.005821408906907259
SVDD_RBF_0.2_auto_[3, 6, 7, 8];0.5266909409841217;0.020766514693240905;0.829896102541207;0.057020287924864924;0.6432461426403197;0.020459173509119976;0.7440379085589108;0.02895950929577345;0.6580152528123985;0.022831863370704315;0.04039719104766846;0.005134999402391204
SVDD_RBF_0.3_auto_[3, 6, 7, 8];0.5417590834945142;0.02323523225648286;0.7435756405565235;0.06720473727155174;0.6252023022442891;0.027627085324116712;0.7439012757947615;0.02896948375659566;0.6696145864001825;0.02110324757907966;0.04325456619262695;0.001053531827903726
SVDD_RBF_0.4_auto_[3, 6, 7, 8];0.5534977006434952;0.028065689203609606;0.65155679341635;0.07299544899169316;0.5967071869528682;0.0393147862891682;0.7435322266388988;0.028232114543461504;0.6745019543176751;0.022898736160286936;0.05125548839569092;0.0013592366039605582
SVDD_RBF_0.5_auto_[3, 6, 7, 8];0.5622425581164011;0.032913218658375806;0.5604618926305985;0.07644192820826473;0.558647403913273;0.046581659844946145;0.7425971017419566;0.02778398804350898;0.6736712346231601;0.022587720604433873;0.05748748779296875;0.0020517590807614806
SVDD_RBF_0.6_auto_[3, 6, 7, 8];0.5673169895865969;0.04148692336350607;0.45202139394734403;0.06915460276432084;0.5003942975453863;0.05339201451586185;0.7423894969404441;0.027547336849878236;0.6675784506972207;0.02407091183350816;0.06415503025054932;0.002302609575511114
SVDD_RBF_0.7_auto_[3, 6, 7, 8];0.571876919072906;0.0458126479402688;0.36009504116699;0.07973221964981295;0.43670820591798554;0.06850306146656666;0.742597226275546;0.0275866704622155;0.6612738395520608;0.0218305126948593;0.0787123441696167;0.011091120806398713
SVDD_RBF_0.8_auto_[3, 6, 7, 8];0.576402256731283;0.05703351543757577;0.24280672725306135;0.0644213476971718;0.33486591786520037;0.06320400870239325;0.7421488481735439;0.026856684207975212;0.6493976462840257;0.015517807428685327;0.0814511775970459;0.002984158735034059
SVDD_RBF_0.9_auto_[3, 6, 7, 8];0.5577771052150047;0.08088692104584869;0.11010547387106254;0.05990500975607001;0.17572688849806434;0.07835697622153907;0.7416200749113244;0.026592346265561628;0.6346379898592353;0.012170736890965083;0.08734674453735351;0.004313944461557091
SVDD_linear_0.0001_scale_[3, 6, 7, 8];0.0;0.0;0.0;0.0;0.0;0.0;0.6385183116706127;0.05883634006661784;0.6280240492455891;4.6882365059703186e-05;0.018944263458251953;0.0014056191441801525
SVDD_linear_0.0005_scale_[3, 6, 7, 8];0.481572252741908;0.03660878308998041;0.8785996281047842;0.09042317779396548;0.6182703583554219;0.023780078114787724;0.7128892298630806;0.04485989477660868;0.5963044152914312;0.04754148595768752;0.022369575500488282;0.0028500112950065907
SVDD_linear_0.001_scale_[3, 6, 7, 8];0.47678091683566387;0.025057907413170297;0.9485856206653457;0.019918575298114395;0.6340928741422689;0.021577669146390258;0.7298336935474745;0.034566657741446606;0.5915149636229564;0.03806813531031111;0.02328152656555176;0.003910950810056547
SVDD_linear_0.005_scale_[3, 6, 7, 8];0.4636354091961007;0.022546621610209018;0.9763493283563198;0.012451682186163333;0.6282719394940763;0.019215962070868446;0.7396310043478624;0.03036999933011808;0.5689522982585844;0.03795443916459877;0.024609065055847167;0.003143447053105038
SVDD_linear_0.01_scale_[3, 6, 7, 8];0.46300983272978546;0.02188695937250904;0.97766342715863;0.010438094220222472;0.6280191157663035;0.01903331080279563;0.7400998650787779;0.030725171595848;0.5679748183058588;0.037119118247133306;0.0205935001373291;0.0006682253535688702
SVDD_linear_0.05_scale_[3, 6, 7, 8];0.4852221098715338;0.01813560456448083;0.9482770312513186;0.023872796667261765;0.641521853328801;0.01427426394876334;0.7437678039292147;0.027922482448604107;0.6050692146546782;0.02984318346091278;0.02258117198944092;0.0009001079238345578
SVDD_linear_0.1_scale_[3, 6, 7, 8];0.5022428533256014;0.016151313159469827;0.9117066829907803;0.041272838356069014;0.6469802867631512;0.011838367345416977;0.7450284222782795;0.028434776959932174;0.629734146874692;0.02340995069235723;0.02434816360473633;0.0009023270394710385
