Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_;0.35834460148996305;0.0051255289751859405;0.763178020245167;0.03143648572946702;0.4876173850163285;0.011186064226245572;0.3178021025566113;0.0028274503443524845;0.36993214610824765;0.0022069147322372616;0.6216214656829834;0.043653452399789815
SVDD_RBF_0.0005_scale_;0.37304906183810255;0.0018745841255345594;0.8610726514451837;0.011777117895400355;0.5205597949487349;0.003967013139665404;0.3170836562119143;0.002852736064859499;0.3764576615910609;0.0015372669422860634;1.0287879228591919;0.050371193405066225
SVDD_RBF_0.001_scale_;0.3735244292534822;0.0020122167885145404;0.8646330104321907;0.012362137150178075;0.52167191651571;0.0042080623825614125;0.31694946104603594;0.0028066642932626142;0.3766691429676449;0.0016960460976587566;1.0685718536376954;0.040598938396621626
SVDD_RBF_0.005_scale_;0.37363943973289115;0.001974749072515139;0.8655294809093007;0.012197951972784154;0.5219473589703192;0.004137179836583265;0.3169260536095213;0.002803938983068645;0.37670941885718406;0.001678395044309671;1.1137964487075807;0.04656449322563664
SVDD_RBF_0.01_scale_;0.3736603207735432;0.00198613622052324;0.8656831366365105;0.012181646474254794;0.5219957702170746;0.0041455663741484464;0.31691681562972696;0.002801305184190702;0.37671948630849944;0.0017039342750883892;1.1215826511383056;0.05074048759243548
SVDD_RBF_0.05_scale_;0.37367240728767764;0.002007484892700039;0.8656831431959867;0.01228509187290898;0.5220074471961935;0.004185252610727939;0.3169181758534562;0.002799809225145477;0.37674969880290826;0.0017298980186509915;1.125525951385498;0.04637765585827696
SVDD_RBF_0.1_scale_;0.3736597686291422;0.0020218219164906473;0.8656062923742155;0.012317124221929798;0.5219811356784161;0.004205254203530489;0.31691853305317685;0.0028000263608012397;0.3767396272954078;0.0017527255695844763;1.2773533105850219;0.13688189818359014
SVDD_RBF_0.2_scale_;0.3715349442093244;0.00223206992776614;0.8513651056862785;0.013103937516153864;0.5173044764612996;0.004579421317285768;0.3165551077567393;0.0026911008515936347;0.37541035866512174;0.001909798793826748;1.339000415802002;0.0474782488178678
SVDD_RBF_0.3_scale_;0.36305559616925326;0.002666994124873029;0.7948100703700594;0.015756972351778573;0.4984175432533865;0.005605839182619159;0.31589600702661264;0.0022525405654650406;0.3711707579884283;0.0017711148766097803;1.4510448217391967;0.07197980651003753
SVDD_RBF_0.4_scale_;0.351412796926349;0.003429467909873741;0.719455622520518;0.018893209657707504;0.472158802037277;0.007158582892782496;0.3158179355615601;0.002108480517664525;0.3677569286485613;0.0019604313509322493;1.7662425279617309;0.09334639209354047
SVDD_RBF_0.5_scale_;0.3334094476936135;0.005264755033837091;0.620255137381667;0.026744421523967592;0.43361495148406287;0.011050321934909768;0.31565853310685443;0.00218637443547392;0.36345691008137415;0.001679533305702299;2.1685147523880004;0.1161904483179973
SVDD_RBF_0.6_scale_;0.313676770131149;0.006676376386626621;0.5255101435738124;0.027849221869137308;0.3927594934376788;0.01312843149371343;0.31575911517749794;0.0022213982900385855;0.3618356265482585;0.0012556279877718054;2.4488910675048827;0.09932618211949468
SVDD_RBF_0.7_scale_;0.28861204313476546;0.009113987842764761;0.42489941043428975;0.031044560009281873;0.3435888646777001;0.01672119000010422;0.3158163219005095;0.0020882871123883047;0.36289297664458786;0.00198273182014307;2.811652946472168;0.11070168527349199
SVDD_RBF_0.8_scale_;0.256594933260384;0.00887013704727121;0.31386538774375017;0.027703702630060882;0.2821479836401102;0.01656736372948032;0.3157141963473721;0.0020337352449923745;0.3735977935570137;0.0050765671706781154;3.198465609550476;0.14049376449849807
SVDD_RBF_0.9_scale_;0.20443340675219077;0.012285867218118807;0.1807270129720199;0.024156537945462686;0.19155863724192096;0.01908653019425428;0.31570849520257466;0.001974977159214537;0.40291254266726406;0.009035190017149761;3.571483850479126;0.1518596928837514
SVDD_RBF_0.0001_auto_;0.19459280580383445;0.14747029146977886;0.0031504835645767303;0.0027059913477303103;0.006134994671626046;0.005190231924419581;0.3233693407512708;0.008363114614756204;0.6027874184846235;0.004504063357963003;0.13104016780853273;0.0070853152003630855
SVDD_RBF_0.0005_auto_;0.38866656798641036;0.002243185676312298;0.9662423582103651;0.014353167878321067;0.5543392620030722;0.00465207763024324;0.3215563202616332;0.00444490985051071;0.389246990538847;0.0024054285292659564;0.21818382740020753;0.014421708111379992
SVDD_RBF_0.001_auto_;0.39002596514663807;0.0016492403963508304;0.9753859989294936;0.009188023879194538;0.5572291853240021;0.0031765197261419712;0.32065748229914165;0.004776977546230998;0.3905963940717639;0.002164078206884341;0.26546359062194824;0.019335036865048394
SVDD_RBF_0.005_auto_;0.3905228680388369;0.0014933588504517574;0.9788950628135428;0.00824961620404021;0.558309007101022;0.00286079728513718;0.32000218599329944;0.004423214998639661;0.3910696991517401;0.001999776392066671;0.33232109546661376;0.04652603130546962
SVDD_RBF_0.01_auto_;0.3905367425639281;0.001437651553667116;0.9790487185407526;0.007967072733681357;0.5583483390501461;0.002757950395226404;0.3200206733579511;0.0044981315374098005;0.3910696971236476;0.0019207402710223137;0.34078617095947267;0.05240827537182468
SVDD_RBF_0.05_auto_;0.3895360803332125;0.0016668262110311322;0.973004148212674;0.009260864514792747;0.5563403518543973;0.003209961644384134;0.3190607764339806;0.003953566607988001;0.3898915031339607;0.002184228494043496;0.4075614452362061;0.04787288166014497
SVDD_RBF_0.1_auto_;0.3867273371192842;0.0019280381445416286;0.9545108729875528;0.011730501854185487;0.5504337562394076;0.0038975783058221376;0.31774412916081607;0.0033141160540955117;0.3870315083441304;0.0021849924549990525;0.5844550848007202;0.05696650870932894
SVDD_RBF_0.2_auto_;0.3800521805969206;0.001693354137728171;0.9086112474024475;0.010420306229914446;0.5359289698818649;0.0034741976057066507;0.3168081991299433;0.0029353889930441423;0.38137196707635146;0.0017400832728716063;0.9733473777770996;0.045689159885289383
SVDD_RBF_0.3_auto_;0.36803793087042597;0.0024167027480591395;0.8281076108289078;0.01557263341196644;0.5095785419949799;0.005246363641774177;0.3159862937551714;0.002421628092218685;0.37342650796031396;0.0016426368773659065;1.3090761423110961;0.062086105137845536
SVDD_RBF_0.4_auto_;0.35498761855932914;0.003548164730032533;0.7416881533238178;0.02015690004095041;0.48012824212149097;0.007468461976748325;0.31583778545381275;0.002262509991195688;0.3687337462326914;0.0019689958962836565;1.655003833770752;0.07067843320086359
SVDD_RBF_0.5_auto_;0.3363286258391446;0.005071763867593587;0.6356745634012719;0.027191251829135423;0.4398268048638433;0.010905446480930902;0.3156658461160854;0.0022372221065520325;0.3638999996248029;0.0013427825190041754;2.1002034187316894;0.1150707198454292
SVDD_RBF_0.6_auto_;0.31610138061775805;0.006269380957194421;0.5363191368778992;0.025962325006047095;0.39768316496677086;0.01221066030323956;0.3156981960653334;0.0022662971294642735;0.3618758851990111;0.0014889726656221157;2.4190920114517214;0.09272918122392829
SVDD_RBF_0.7_auto_;0.2908673076831603;0.008779580923306336;0.4327115627820574;0.031288332130102806;0.34772942020966036;0.01651259638129012;0.3157096149239733;0.0021484690350723245;0.3629534300267009;0.0016803652033301661;2.755333757400513;0.11287850567772904
SVDD_RBF_0.8_auto_;0.25896110458640564;0.009053372399415165;0.3214982564912575;0.027394781943449863;0.2866746431640711;0.01643822177165522;0.3156263504465613;0.0021103280018890417;0.3723692116084366;0.0044189176776322356;3.2691564321517945;0.21625179314974258
SVDD_RBF_0.9_auto_;0.20569137766169704;0.012259408676875342;0.18369819981738417;0.02405254302273167;0.19379370535260393;0.018970772184606095;0.3156036367769639;0.002067116926899249;0.40166381567559367;0.008697398594002387;3.5057613611221314;0.1492964546605787
SVDD_linear_0.0001_scale_;0.3906133078847839;0.001432088981960275;0.9795609873848156;0.00799914009849728;0.5585098555738645;0.0027589437338214323;0.32007486415174824;0.0045489792545456;0.39115026107128104;0.001894275900934601;0.18247849941253663;0.0235601540211145
SVDD_linear_0.0005_scale_;0.39061957014377835;0.0014251028224091919;0.9795866021389139;0.007975518531878965;0.5585204284682643;0.0027480949048147027;0.3200695024560281;0.004546310835158114;0.39116033156473523;0.0018815597679247707;0.186358642578125;0.023997145125730767
