Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 128];0.3985317729269423;0.0024168297572557482;0.9351979125123318;0.01048998473849004;0.558870269371479;0.0027054886697139235;0.5176809985941133;0.03150133138523667;0.41955857045030653;0.006372204360007032;0.07825372219085694;0.004134195285993197
SVDD_RBF_0.0005_scale_5_[384, 128];0.3982815150903432;0.0015639172628184475;0.947979136930375;0.008486988614926371;0.5608897661424445;0.001432339392160883;0.5136799611462441;0.02765943644222566;0.41642669768837;0.004833375507449512;0.10059113502502441;0.007543154471185098
SVDD_RBF_0.001_scale_5_[384, 128];0.39813796013777886;0.0015738101545760771;0.9481584533280157;0.008203624799121434;0.5607796401036673;0.0014427333245973636;0.5136502449050171;0.027915477955352694;0.41605409652888914;0.00478959294639066;0.10344223976135254;0.006303647081242625
SVDD_RBF_0.005_scale_5_[384, 128];0.39817075674292624;0.0016123311734988076;0.9482865205390315;0.008472927333083769;0.5608338302172082;0.0015167373490042534;0.5135615736820214;0.028087118594367702;0.41610445001020635;0.004890500672223893;0.10758442878723144;0.006595379706294241
SVDD_RBF_0.01_scale_5_[384, 128];0.3981598910184029;0.0015966137889775996;0.9482096828362125;0.008384446448854435;0.5608097744695446;0.0014714124737686012;0.5135138089291489;0.028093290086286513;0.4160943785027059;0.004865332982858454;0.106923508644104;0.006476258620015983
SVDD_RBF_0.05_scale_5_[384, 128];0.3989847693602134;0.0015369267648254086;0.9273859175919901;0.007172912503149372;0.5579192784233997;0.0011499370109049139;0.5149283116644238;0.017314303684516058;0.42217677604879505;0.00461210509274212;0.13503713607788087;0.004728957613627557
SVDD_RBF_0.1_scale_5_[384, 128];0.40077066498756303;0.0017275263195724484;0.8735971248504439;0.01722885984349168;0.5494224807317207;0.004014138477749169;0.5210948247352143;0.011690213425439935;0.4367485042564086;0.004621842485150058;0.196494722366333;0.00747057827377418
SVDD_RBF_0.2_scale_5_[384, 128];0.4031985480840123;0.003209236515235086;0.782105349121555;0.025887183755840877;0.5319735180942768;0.007568174066262686;0.5275732626664393;0.009601390794995005;0.4592153157897245;0.0061087309218422195;0.32035982608795166;0.003601081197743124
SVDD_RBF_0.3_scale_5_[384, 128];0.4060158911788615;0.004765442735962573;0.6850309410486766;0.02054680002969814;0.5097436629347399;0.007633571557181626;0.532773869282738;0.010026603720110695;0.48211525183382664;0.00777876416498718;0.4459060192108154;0.004858624528812324
SVDD_RBF_0.4_scale_5_[384, 128];0.41088885069998804;0.0070458198833459355;0.5869821883986482;0.026257660602441907;0.48310960221316745;0.0098273736287276;0.5364499445195898;0.01094206102754479;0.5065258257809703;0.011135985640394284;0.5732347011566162;0.006677560364647407
SVDD_RBF_0.5_scale_5_[384, 128];0.4180851083985432;0.009527249126805498;0.49431339996011836;0.020838161027871536;0.45274198816791617;0.010351027131365466;0.5378456421513036;0.01090100955041207;0.5304124795428843;0.011408120530834735;0.7005695819854736;0.006224584686861061
SVDD_RBF_0.6_scale_5_[384, 128];0.42857855074688384;0.014787741765161273;0.3953691738733444;0.023240571671433317;0.41069476948797856;0.012993530935521224;0.540150690354183;0.012170012957095164;0.5543696429837175;0.014124806364554194;0.8317017793655396;0.005188601452395484
SVDD_RBF_0.7_scale_5_[384, 128];0.4457687686573161;0.015984047646486744;0.2979094359375328;0.023205454046584056;0.35634278745100634;0.015347247923022257;0.5427518777041282;0.010498361316943214;0.577742868897102;0.010182560248916915;0.9644837617874146;0.00409111981854755
SVDD_RBF_0.8_scale_5_[384, 128];0.46475050130839896;0.020040568960724613;0.19422615892823408;0.015083280163245073;0.2733141010116092;0.01352333775976997;0.5454596646989237;0.010921540244341398;0.594660917632774;0.007580521484568084;1.1568788528442382;0.07109145150094653
SVDD_RBF_0.9_scale_5_[384, 128];0.48443064230339317;0.027435714653368408;0.09753591313154635;0.007045816295336393;0.16215691581136643;0.009533445651016607;0.5481218506601202;0.01062829322763648;0.6040664725579307;0.0044208675548644836;1.310565137863159;0.06936277352450403
SVDD_RBF_0.0001_auto_5_[384, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.5347748613480892;0.06097067924140105;0.6068357142632603;2.4442571162985872e-05;0.037776827812194824;0.0005850046048307874
SVDD_RBF_0.0005_auto_5_[384, 128];0.4385648944941852;0.23806126639926878;0.0033555262274091646;0.00547395517466679;0.006552929583200187;0.010581410877832013;0.49699629016627805;0.05378561696208044;0.6066544443670389;0.00043268704496302165;0.04076404571533203;0.0003925039789246501
SVDD_RBF_0.001_auto_5_[384, 128];0.38575214042685835;0.04040012258988959;0.48394970324930203;0.24386759545560693;0.38758792695662586;0.15266433371091037;0.48357968589003286;0.04355082882923054;0.4881373481047424;0.053700556645591424;0.04776434898376465;0.0026614426215627075
SVDD_RBF_0.005_auto_5_[384, 128];0.39747269402943664;0.0029674080048592982;0.9585061645956214;0.009366814772439672;0.5618988521611177;0.0024220701402194477;0.5138467651984849;0.0436373432826441;0.41232817011396766;0.008243154824347992;0.06421849727630616;0.004015550717706246
SVDD_RBF_0.01_auto_5_[384, 128];0.39749783352934265;0.0018616879787464486;0.9645510432190761;0.0063199845715133365;0.5629748401800367;0.0016813243579126371;0.5155036858392761;0.0368765665298041;0.41122037628620356;0.005142395548336693;0.06944925785064697;0.004899888467787332
SVDD_RBF_0.05_auto_5_[384, 128];0.39840621887007316;0.001575775654993954;0.937195784618291;0.007134741271248141;0.5591128007173327;0.0013103106276050572;0.511480164026986;0.0188048491000364;0.4188838078410722;0.004649811873221262;0.11571810245513917;0.003659116465193477
SVDD_RBF_0.1_auto_5_[384, 128];0.40054325674960234;0.0019827567630410527;0.8821007312503936;0.015847915214925352;0.5508819135592834;0.003604902587073305;0.5197826973672289;0.011376046320852162;0.4345834110346284;0.005373188732397722;0.1786810874938965;0.0031564103516752103
SVDD_RBF_0.2_auto_5_[384, 128];0.40302315826049506;0.0034787484730723754;0.7865365769505257;0.02528346063355502;0.5328454828938672;0.007390735327505772;0.5263818792201704;0.009541729659506608;0.4580270097306866;0.006760481992095207;0.3049612998962402;0.004272931663464967
SVDD_RBF_0.3_auto_5_[384, 128];0.4052070487029128;0.004703711373450645;0.6875411475934594;0.02171073883923372;0.5097790411962726;0.007623289271439355;0.5311420751722594;0.009808806110624235;0.4803126679831015;0.008108775104953682;0.4301746129989624;0.003007749932044132
SVDD_RBF_0.4_auto_5_[384, 128];0.41021214627731395;0.006883111594624786;0.5893640784723242;0.02738662119187047;0.48342389273144215;0.010026665703337148;0.5351806972707662;0.010740982305623608;0.5051864765167673;0.011212413694869507;0.5564287424087524;0.005135175985476503
SVDD_RBF_0.5_auto_5_[384, 128];0.41699060423583295;0.009717929302444098;0.49579912129258413;0.020442113266519277;0.45273763550368296;0.010534060745322768;0.5368611042517332;0.010977021027082165;0.5289724294003244;0.011515248724546248;0.6794265747070313;0.002930725304686708
SVDD_RBF_0.6_auto_5_[384, 128];0.42701501388399354;0.014595359050865593;0.3988525574085347;0.023128028153539208;0.41184025865209994;0.01236500036069673;0.5387442397339239;0.01189707133550417;0.5525469637781659;0.014241933594993835;0.8121592044830322;0.004464201135383322
SVDD_RBF_0.7_auto_5_[384, 128];0.44249369600850097;0.016997141614378104;0.30018916217123903;0.022132684874259248;0.3569261764621298;0.014352618548068612;0.5413443668707213;0.010715419682786003;0.5754770443755771;0.011205639331554931;0.9351303339004516;0.0018783821529739983
SVDD_RBF_0.8_auto_5_[384, 128];0.46183694520839963;0.02113033277619304;0.19466153759366933;0.014687860468900412;0.2732355400791578;0.013171290108415357;0.5438578316126434;0.010961334234666947;0.5935431273369329;0.008192474043533926;1.0560031414031983;0.002156970154398023
SVDD_RBF_0.9_auto_5_[384, 128];0.4799202416917459;0.02711713932909558;0.09715175741483177;0.005799655669455219;0.161429981125842;0.007900737882967185;0.5465182800169568;0.010728790477833136;0.6033716287905176;0.00443039431999669;1.17837815284729;0.0028918170049752694
SVDD_linear_0.0001_scale_5_[384, 128];0.39723131007339385;0.0017687617425780544;0.9619126120358515;0.008140132943541687;0.5622521967767369;0.0014027026780817275;0.5120999508044519;0.032623307653777724;0.41110962722341055;0.005409855836012632;0.041556811332702635;0.001357703764620027
SVDD_linear_0.0005_scale_5_[384, 128];0.39702240422644225;0.001781325066300428;0.9661388824751789;0.007259645196186815;0.5627648020265092;0.0014673284687947111;0.5131482735218607;0.03597238401904189;0.40975013798634546;0.005262790452137983;0.04522519111633301;0.0021375810204875873
SVDD_linear_0.001_scale_5_[384, 128];0.39704300633012346;0.0016870355397764058;0.966599915251569;0.006713536883094916;0.5628654283964313;0.0013803882338793332;0.512726573391985;0.03587626805636044;0.4097098499282511;0.004980023512196554;0.045669054985046385;0.001687690541005434
SVDD_linear_0.005_scale_5_[384, 128];0.3969921686049891;0.0016676788171747124;0.9666511709976702;0.0067091335706133525;0.5628235111282931;0.0014426596196270669;0.5127279240638718;0.03600627472380808;0.40957893655548566;0.004878115580784615;0.045770812034606936;0.002109290762136752
SVDD_linear_0.01_scale_5_[384, 128];0.3971078166965333;0.0015672664875209408;0.9662158513675196;0.006297790620948099;0.5628675206197021;0.0014187906684370794;0.5137454147248411;0.03484899775859775;0.4099515113497635;0.004515235280646416;0.04712755680084228;0.0016426722714841936
SVDD_linear_0.05_scale_5_[384, 128];0.39843249062149894;0.0014939019532109825;0.9376056403622931;0.007273188771046042;0.5592114184351605;0.0012148788765240458;0.5113296031185012;0.0184520628484959;0.41886366786821017;0.004530786833149846;0.061530470848083496;0.002157211301734656
SVDD_linear_0.1_scale_5_[384, 128];0.40036836399748255;0.001994215278853028;0.8819214082932767;0.015859669039688586;0.5506816912768621;0.003630948331243704;0.5196832678077448;0.011879912870917438;0.4342410264257414;0.0053626912868036305;0.09147701263427735;0.0017037518351607258
SVDD_linear_0.2_scale_5_[384, 128];0.40297651217688585;0.003529670558872438;0.7866646703994459;0.0253659505089691;0.5328343109678575;0.007468956747451734;0.526203560748957;0.009508641697058643;0.4579162393729218;0.006787887804391508;0.13833951950073242;0.0031303123230359926
SVDD_linear_0.3_scale_5_[384, 128];0.4051628807046567;0.00466122209007982;0.6872594115362818;0.02143703448577166;0.5096695099932638;0.007534747881557655;0.5312314951345225;0.009795259821034845;0.4802925269961931;0.008028687467173999;0.1889112949371338;0.002951547463435529
SVDD_linear_0.4_scale_5_[384, 128];0.41023572485932;0.0069301384387568;0.5895689965051111;0.027250873535651757;0.48351361394107945;0.010043090345673761;0.5351315359481791;0.010742031624790198;0.5051864734746285;0.011209479761524815;0.27094521522521975;0.026254545554170526
SVDD_linear_0.5_scale_5_[384, 128];0.4170294526336047;0.009718046449383228;0.4958503442413048;0.020183100363716247;0.45278422022860837;0.010386626670813037;0.5368151952678221;0.010931969476509405;0.5290026418947332;0.011532978225863464;0.31838717460632326;0.029474684189759345
