Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_;0.049479508114029444;0.008941292252468536;0.0028295626532776385;0.0004457928779445686;0.005348799527074302;0.0008392930245378854;0.5708668465494897;0.029551063197863874;0.625720338907138;0.002695778055127296;0.8898783445358276;0.14783272017917706
SVDD_RBF_0.0005_scale_;0.1152817839996303;0.02806302205215535;0.007415915485405178;0.0022055310515505457;0.013924390793910137;0.004088273581205878;0.6276557305865118;0.016505810982877133;0.6267465716016354;0.0026709416379062834;3.208399176597595;0.8484396626265548
SVDD_RBF_0.001_scale_;0.3347532012282213;0.02090912681500692;0.046734109055432196;0.00425263962255895;0.08195325403710085;0.006814411504112907;0.622122460547917;0.017160629117457346;0.6278122481209365;0.0027073232153411956;3.578730893135071;0.11656551904200904
SVDD_RBF_0.005_scale_;0.41271741934769796;0.014801981997752438;0.11279414122390108;0.008451013831644363;0.1769096001681662;0.009994826053218778;0.6170316204132733;0.013331679312685763;0.6271083228283516;0.004319828458407923;4.632177233695984;0.09428498503008202
SVDD_RBF_0.01_scale_;0.412847058982448;0.01654365217110538;0.11521684100601563;0.008188189227310072;0.1798823335316585;0.00945975728012312;0.6165585697551099;0.013606735372113411;0.6267136136850274;0.004896811452016456;4.642898082733154;0.10406817549812226
SVDD_RBF_0.05_scale_;0.4123420048998342;0.01716731803038208;0.11564218474189167;0.007843665151225119;0.18035274342780433;0.008914312484447894;0.6162274292396601;0.013257303961269947;0.6264965265988316;0.00516234678160843;4.564823603630066;0.17745024687824923
SVDD_RBF_0.1_scale_;0.41260469492853913;0.01740822909668555;0.11573463352349518;0.00780040390303487;0.18049579991825754;0.008928443961510326;0.616234652162504;0.013268869551467357;0.6265491512534822;0.005178478120441933;4.4600636720657345;0.15170637704747789
SVDD_RBF_0.2_scale_;0.4124244379512557;0.017277630646190485;0.11582709598449523;0.007781558992618051;0.18059030627545775;0.008870548980165678;0.616204120767825;0.01326482634209381;0.6264899467860399;0.005187262540060608;4.650201773643493;0.23576408383775468
SVDD_RBF_0.3_scale_;0.4127127531679705;0.017330834523007193;0.1158271130837409;0.007818637182164806;0.18061397860457612;0.008877521989378365;0.6161939101180892;0.013255396545534327;0.6265557306335338;0.005183953851197529;4.774946165084839;0.37740067127151455
SVDD_RBF_0.4_scale_;0.4123828174998474;0.01707726252525487;0.11569765811467274;0.007883211161678986;0.18042141031304434;0.00893563412152529;0.6161948835011162;0.013255380396750446;0.6264965240023911;0.0051581699049035165;4.497517395019531;0.1575674445895841
SVDD_RBF_0.5_scale_;0.4128348200688741;0.016642032352624164;0.11595656805280904;0.007727488964507761;0.18078474416648355;0.008672591437088057;0.6162022947379142;0.013252631671608953;0.6265688898263768;0.0050903118740136845;4.555885219573975;0.1675511579880558
SVDD_RBF_0.6_scale_;0.4118996695348457;0.016371195164125302;0.11529077472441487;0.007922759889049164;0.17988611660244444;0.00904525832626966;0.6162714865744804;0.013223294068769768;0.6264636344587146;0.004964725908579559;4.603227233886718;0.2072872400949564
SVDD_RBF_0.7_scale_;0.40785619034368165;0.015676769361244437;0.11096318477691094;0.008293924225255805;0.17418039108000416;0.009652176219726255;0.6153291972606947;0.013017793416519935;0.6261873381449355;0.004816902257226491;4.783132886886596;0.22585078267353548
SVDD_RBF_0.8_scale_;0.39455819911306456;0.01731944987641085;0.09844280931577847;0.009189217199374478;0.15726213842139;0.011479360643273578;0.6123315706909603;0.013159985644596096;0.6253321334143527;0.004868001273497421;4.696452856063843;0.26317171723841415
