Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 128];0.36803377532877357;0.005064305069263743;0.9455911783760478;0.008663426722304867;0.5298033518242103;0.004681529994765324;0.5715032487237229;0.027415580212575844;0.4028496089514049;0.013577338642926174;0.1122159481048584;0.01360852818616947
SVDD_RBF_0.0005_scale_5_[384, 128];0.3670711775614477;0.0035072367567345808;0.9540243382455135;0.007226488778852175;0.530137535169442;0.0034608177357267076;0.5736738435520887;0.025880626238914857;0.3984026594612328;0.009524947956566925;0.12885258197784424;0.008550838109409509
SVDD_RBF_0.001_scale_5_[384, 128];0.3670237770617019;0.0034696352734644846;0.9540983095822533;0.007275847213809013;0.5300993176448989;0.003397171413737697;0.5735536134797503;0.02595754699095441;0.39826451541537405;0.00948222145446408;0.13230535984039307;0.008215539071924438
SVDD_RBF_0.005_scale_5_[384, 128];0.3669923376084179;0.003441139354690694;0.9544681936247447;0.007237163823987782;0.5301243524347795;0.0034063793592306506;0.5733751059706422;0.025956068278602272;0.3980934792293983;0.009363576663471583;0.13811609745025635;0.011196660168088828
SVDD_RBF_0.01_scale_5_[384, 128];0.3670297490124119;0.003470957278738405;0.9540613752116203;0.007700359884246767;0.5300979601773583;0.0033317321619490262;0.5732438192201782;0.025744708586699205;0.39828424792990785;0.009620852160868209;0.13999569416046143;0.015312170888885049
SVDD_RBF_0.05_scale_5_[384, 128];0.3698652894539153;0.002604934380924111;0.9278002100881719;0.010441555590683004;0.5288651002649596;0.0026220097561893926;0.577599272626979;0.013440243096006763;0.41198709125980076;0.007618410219566259;0.18166732788085938;0.012576591528304225
SVDD_RBF_0.1_scale_5_[384, 128];0.37759401120800884;0.00408343234376739;0.8859668850536725;0.010031925939272143;0.5294655153070804;0.002962431061346722;0.5833238005198218;0.011267529846259783;0.439794195399504;0.01085639872748889;0.2731653928756714;0.010345902352579579
SVDD_RBF_0.2_scale_5_[384, 128];0.3909196397473827;0.006639096132672422;0.7931832113039966;0.02142576149278435;0.5235496551871256;0.00543610414217256;0.5861320578733547;0.013221650822186154;0.48645502284473785;0.015062547302371;0.4534799098968506;0.009067115749155724
SVDD_RBF_0.3_scale_5_[384, 128];0.40065250873625474;0.009153567135527594;0.6882862130560538;0.026791399854164604;0.5061063063938761;0.005936396172664612;0.5860495434057003;0.011726028164321953;0.5221956247191896;0.017517231790621497;0.685124135017395;0.05886375838351503
SVDD_RBF_0.4_scale_5_[384, 128];0.40948960061926315;0.009507887039816098;0.5918035484081013;0.028913709239963795;0.483613963408765;0.008597809088627645;0.5877166361183637;0.011282125730288441;0.5507131322703523;0.014513288218355461;0.9300012588500977;0.04174249292543641
SVDD_RBF_0.5_scale_5_[384, 128];0.4191376847364318;0.009628358668672128;0.48995789686938807;0.02558586953936996;0.4513634711817379;0.010348808142657389;0.587796067446767;0.01004733970195038;0.5766913461791532;0.010953079883163899;1.0049060344696046;0.055428953062412696
SVDD_RBF_0.6_scale_5_[384, 128];0.4314830762082348;0.009477073546973969;0.3982284223935005;0.02601416476733979;0.41373623013759386;0.014410231235765906;0.5886670137189391;0.009855560803738323;0.5991763567338133;0.007567056132516245;1.1960578203201293;0.025123174974278795
SVDD_RBF_0.7_scale_5_[384, 128];0.44535633194197083;0.010063447159827255;0.3024676263401705;0.024456874702887606;0.3596611117092127;0.01763427337339163;0.5875277272051609;0.009680445489814265;0.6177801319703164;0.0057328067329735135;1.3542319297790528;0.005291369085991608
SVDD_RBF_0.8_scale_5_[384, 128];0.46634663631556894;0.011290952515213205;0.20280463195310044;0.02059742028845313;0.28202238658264467;0.02006595403453963;0.5853287125380039;0.009002495551659625;0.6337788764528913;0.00381946199190962;1.5357347011566163;0.018804996030845678
SVDD_RBF_0.9_scale_5_[384, 128];0.5040222986319477;0.01527777959492262;0.10262295588777641;0.014573655111976084;0.1699253903145554;0.01964670162647791;0.583770067140957;0.009231802643599083;0.6446596196850032;0.0022914148418624806;1.730198287963867;0.009875234076992699
SVDD_RBF_0.0001_auto_5_[384, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.5822830110212955;0.04620994854125271;0.6442912406113471;1.6953025052623972e-05;0.04755868911743164;0.00038735571218742913
SVDD_RBF_0.0005_auto_5_[384, 128];0.36257095685367025;0.2524962286538021;0.026946513149183123;0.0286885284106935;0.04818634628627424;0.050392223223642174;0.5547739914505059;0.041345991505347436;0.643074213684676;0.006594885341877047;0.05111627578735352;0.00248759512528391
SVDD_RBF_0.001_auto_5_[384, 128];0.4167393990600596;0.08508740378161846;0.4480935948414449;0.25772965149997723;0.3755482572795731;0.14317203990207966;0.5624769444582025;0.05876390696375004;0.5548520980549883;0.07082702988476978;0.06059308052062988;0.004179417759889423
SVDD_RBF_0.005_auto_5_[384, 128];0.36525317536628;0.0040902048303352615;0.9640662772233671;0.009870774342030875;0.529752043110225;0.003830729665409191;0.5702929536022708;0.03336648088000267;0.39110734081996157;0.0116461612073205;0.07953364849090576;0.0035472121093411816
SVDD_RBF_0.01_auto_5_[384, 128];0.3648451520149429;0.00355994231636188;0.9674879628150228;0.008887887855503356;0.5298421536268001;0.0031296383056641356;0.5682452623571249;0.03354209894787213;0.3891797109886578;0.010652809162316942;0.09227309226989747;0.006706331846946848
